Predic_Error
1
1
1
1
0.94
0.92
0.9
0.88
0.89
0.88
0.88
0.84
0.83
0.8
0.76
0.76
0.69
0.69
0.69
0.69
0.64
0.56
0.56
0.5
0.5
0.5
0.47
0.47
0.49
0.49
0.48
0.48
0.41
0.3
0.27
0.32
0.3
0.3
0.3
0.3
0.27
0.27
0.27
0.27
0.27
0.28
0.28
0.26
0.2
0.23
0.21
0.21
0.19
0.2
0.2
0.16
0.16
0.16
0.16
0.16
0.15
0.15
0.14
0.14
0.14
0.12
0.12
0.12
0.12
0.11
0.11
0.11
0.11
0.11
0.11
0.1
0.08
0.07
0.07
0.07
0.07
0.07
0.07
0.09
0.09
0.08
0.08
0.08
0.08
0.07
0.07
0.07
0.08
0.08
0.08
0.08
0.05
0.05
0.05
0.05
