Trial,Total_Time,Full_Problem_Count
1,586.0336730480194,4
2,859.9747722148895,8
3,1886.462240934372,10
4,774.5570812225342,6
5,725.1302599906921,5
6,1480.2142269611359,12
7,2032.025722026825,14
8,8005.810101985931,7
9,1020.7433040142059,9
10,1141.9396560192108,11
