ConeSize,Predic_Error,Eta,Eta_Bound
0,1.0,7.6056251556070595,10.3754
0,1.0,1.1042634362283796,4.16454
0,1.0,0.7627157566325408,3.43246
0,1.0,0.5136816428348153,3.03409
0,1.0,0.3566603982828562,3.01032
0,1.0,0.3175487653179685,2.27802
0,1.0,0.19858052525056616,2.58359
0,1.0,0.17119595851595498,2.40251
0,1.0,0.13701933732450922,2.52713
0,1.0,0.12232303144688832,1.82448
0,0.98,0.08512933620216255,2.66437
0,0.98,0.08224675484969061,2.46616
0,0.99,0.0676018111310655,2.56789
0,0.98,0.07207950591510276,1.65392
0,0.96,0.07551873128647654,1.79045
0,0.93,0.053925642372912135,1.83749
0,0.91,0.06626117851676674,1.83778
0,0.9,0.054414925451321115,2.27781
0,0.89,0.056028779536079744,1.60912
0,0.84,0.0525077481032627,1.97308
0,0.83,0.05947817028115117,2.41788
0,0.81,0.037399156757477986,2.16642
0,0.78,0.03207462831197368,1.48
0,0.81,0.03309053663059924,1.16648
0,0.81,0.03542623771090314,2.22934
0,0.81,0.025700403128887526,1.3492
0,0.78,0.026951273205093062,1.93901
0,0.75,0.041345670565351336,2.43519
0,0.75,0.03516006654775897,1.5867
0,0.76,0.048377629985478225,2.25201
0,0.75,0.03514790692539758,1.66113
0,0.72,0.024736539179565024,1.54948
0,0.69,0.02404250718955004,1.17798
0,0.68,0.024390320752756402,1.58084
0,0.67,0.025841741767930256,1.44508
0,0.62,0.01753358861523346,1.2682
0,0.6,0.01819144706970679,1.62069
0,0.6,0.048146398623858604,2.26194
0,0.63,0.01626311290197448,1.90785
0,0.61,0.014077794631233712,1.80333
0,0.61,0.01238924651445668,1.61347
0,0.61,0.016171621001317825,1.58663
0,0.58,0.01141138650785666,1.56257
0,0.54,0.01362588140464519,1.34045
0,0.54,0.013472137512427845,1.62725
0,0.53,0.012587071894918513,1.83579
0,0.54,0.009811475391815181,1.75786
0,0.5,0.013922678189066263,1.97952
0,0.5,0.01273114549166942,1.64858
0,0.5,0.03122770301043907,1.93928
0,0.52,0.007879617608922852,1.56758
0,0.51,0.012057006839249026,1.19646
0,0.52,0.0012549410539791077,0.15707
0,0.44,0.0009332831652774777,0.16862
0,0.44,0.0007919282747014122,0.175845
0,0.42,0.000769201521168196,0.195832
0,0.4,0.0012734005651880878,0.215904
0,0.4,0.0006879041591540767,0.192893
0,0.41,0.0006507098617636477,0.174892
0,0.4,0.0013802934543554047,0.212218
0,0.41,0.0006261562566821817,0.212578
0,0.43,0.0007851766060569254,0.177823
0,0.43,0.000620181995242941,0.175488
0,0.38,0.0010001471505383904,0.19711
0,0.34,0.00044294821394519346,0.194726
0,0.34,0.0013359450848327613,0.220971
0,0.34,0.0006117334751996699,0.189257
0,0.24,0.0006009502647098513,0.170489
0,0.24,0.0006787087134633373,0.146687
0,0.23,0.0010382915142716585,0.146158
0,0.29,0.0008163922801734981,0.195567
0,0.29,0.0012041467211218813,0.198832
0,0.29,0.0005518594301596506,0.198361
0,0.29,0.0003869827011754454,0.1565
0,0.27,0.0004662779989748067,0.155426
0,0.27,0.000392291250590233,0.183681
0,0.27,0.00044171095835665814,0.196921
0,0.27,0.0004894637676080523,0.140615
0,0.26,0.00044172541262628494,0.205996
0,0.25,0.0006928864347274293,0.212251
0,0.23,0.00037754636130427185,0.201375
0,0.23,0.00041752907291415186,0.18483
0,0.22,0.0002998513489293681,0.180351
0,0.22,0.00033541152992852443,0.18468
0,0.22,0.00027541559664305635,0.180793
0,0.22,0.0003241736614831047,0.179508
0,0.21,0.00045936914488630656,0.194426
0,0.21,0.0006307215933511337,0.155544
0,0.21,0.0004606481462118712,0.207584
0,0.21,0.0003341347496521269,0.197497
0,0.19,0.0003672993252042105,0.173358
0,0.19,0.000255548508561354,0.190473
0,0.19,0.00027121140906510226,0.166222
0,0.19,0.00024798268339385496,0.178896
0,0.18,0.00023035329810816574,0.166196
0,0.18,0.0002157541365730642,0.169213
0,0.15,0.00043451967480364863,0.143702
0,0.15,0.00025533770124944763,0.193332
0,0.15,0.00033643501225426396,0.167562
0,0.15,0.0002899404953937701,0.168274
