Predic_Error
1
1
1
1
1
1
1
1
1
0.99
0.98
0.98
0.98
0.95
0.91
0.91
0.9
0.91
0.91
0.89
0.88
0.86
0.88
0.85
0.82
0.83
0.83
0.81
0.81
0.77
0.77
0.73
0.77
0.75
0.72
0.73
0.67
0.67
0.64
0.67
0.6
0.61
0.61
0.61
0.59
0.52
0.52
0.51
0.51
0.45
0.47
0.47
0.47
0.5
0.48
0.49
0.5
0.47
0.46
0.46
0.45
0.45
0.45
0.43
0.43
0.43
0.43
0.42
0.42
0.4
0.41
0.37
0.37
0.37
0.4
0.36
0.36
0.3
0.3
0.33
0.3
0.3
0.3
0.3
0.28
0.27
0.27
0.27
0.25
0.25
0.3
0.3
0.28
0.27
0.26
0.24
0.22
0.22
0.25
0.28
