Predic_Error
1
1
1
1
1
1
1
0.99
1
1
1
0.97
0.97
0.96
0.95
0.91
0.88
0.87
0.86
0.77
0.76
0.74
0.74
0.72
0.73
0.72
0.72
0.73
0.7
0.69
0.69
0.68
0.63
0.65
0.66
0.6
0.53
0.49
0.48
0.48
0.52
0.49
0.42
0.42
0.4
0.43
0.38
0.37
0.38
0.38
0.44
0.42
0.39
0.38
0.38
0.32
0.32
0.33
0.36
0.35
0.35
0.35
0.34
0.31
0.31
0.3
0.31
0.31
0.3
0.29
0.29
0.26
0.26
0.26
0.26
0.26
0.26
0.28
0.26
0.26
0.26
0.24
0.26
0.25
0.23
0.23
0.23
0.23
0.2
0.2
0.2
0.2
0.2
0.18
0.16
0.16
0.16
0.15
0.18
0.18
