Trial,Total_Time,Full_Problem_Count
1,277.355064868927,6
2,285.9109308719635,7
3,274.37689900398254,4
4,262.573312997818,2
5,301.57378101348877,6
6,285.840371131897,6
7,279.521607875824,5
8,261.717435836792,3
9,313.18653297424316,6
10,788.7127621173859,8
