Trial,Total_Time,Full_Problem_Count
1,850.2558748722076,8
2,1841.3749120235443,14
3,867.2913928031921,13
4,802.295392036438,11
5,1708.6253049373627,15
6,614.3101110458374,13
7,831.2708070278168,12
8,650.5216240882874,8
9,542.3961100578308,5
10,504.4454379081726,7
