Predic_Error
1
1
0.99
1
0.94
0.84
0.81
0.82
0.79
0.79
0.75
0.74
0.77
0.68
0.69
0.69
0.65
0.65
0.65
0.6
0.58
0.47
0.46
0.46
0.46
0.46
0.46
0.46
0.47
0.37
0.37
0.35
0.35
0.36
0.35
0.34
0.34
0.29
0.29
0.29
0.29
0.29
0.3
0.3
0.29
0.29
0.23
0.2
0.2
0.19
0.19
0.19
0.18
0.16
0.16
0.16
0.16
0.14
0.14
0.14
0.14
0.14
0.13
0.13
0.12
0.12
0.12
0.12
0.12
0.09
0.09
0.08
0.08
0.06
0.06
0.05
0.05
0.05
0.06
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.07
0.07
0.06
0.06
0.06
0.06
0.06
0.06
