Predic_Error
1
1
0.96
0.9
0.69
0.66
0.63
0.52
0.56
0.45
0.4
0.4
0.41
0.41
0.39
0.39
0.27
0.26
0.26
0.26
0.26
0.23
0.23
0.25
0.25
0.25
0.25
0.25
0.17
0.21
0.21
0.19
0.19
0.16
0.16
0.16
0.16
0.17
0.17
0.17
0.16
0.16
0.15
0.13
0.13
0.13
0.1
0.1
0.1
0.1
0.08
0.08
0.08
0.08
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.1
0.09
0.09
0.09
0.09
0.09
0.09
0.09
0.08
0.08
0.08
0.08
0.08
0.06
0.06
0.06
0.06
0.07
0.07
0.07
0.07
0.06
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.03
0.03
