,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,0.99,1
5,1,0.99,1,1,1,1,1,1,0.99,1
6,0.99,0.99,1,1,1,0.99,1,1,0.98,1
7,0.98,0.99,0.99,1,1,0.97,0.99,1,0.97,1
8,0.96,0.98,0.98,0.97,1,0.97,0.99,1,0.97,1
9,0.94,0.97,0.96,0.97,1,0.96,0.99,0.99,0.96,1
10,0.92,0.97,0.96,0.97,1,0.97,0.96,0.95,0.94,0.99
11,0.9,0.97,0.96,0.95,0.98,0.93,0.96,0.91,0.95,0.99
12,0.94,0.96,0.84,0.95,1,0.94,0.97,0.88,0.93,0.98
13,0.92,0.96,0.82,0.93,0.99,0.91,0.96,0.86,0.93,0.98
14,0.89,0.93,0.77,0.91,0.96,0.91,0.96,0.83,0.96,0.98
15,0.89,0.86,0.76,0.91,0.92,0.89,0.97,0.81,0.92,0.97
16,0.89,0.84,0.79,0.91,0.9,0.84,0.96,0.78,0.92,0.97
17,0.9,0.79,0.79,0.91,0.9,0.82,0.92,0.76,0.92,0.88
18,0.88,0.79,0.79,0.91,0.9,0.77,0.93,0.78,0.91,0.88
19,0.88,0.81,0.79,0.92,0.83,0.77,0.92,0.75,0.91,0.88
20,0.88,0.71,0.73,0.9,0.84,0.78,0.92,0.74,0.9,0.88
21,0.88,0.71,0.74,0.9,0.84,0.78,0.92,0.69,0.89,0.86
22,0.88,0.69,0.74,0.87,0.84,0.79,0.92,0.69,0.89,0.84
23,0.84,0.72,0.74,0.87,0.83,0.79,0.91,0.7,0.88,0.83
24,0.84,0.69,0.76,0.81,0.82,0.79,0.91,0.7,0.88,0.82
25,0.81,0.65,0.7,0.81,0.8,0.79,0.87,0.69,0.85,0.79
26,0.76,0.65,0.69,0.79,0.67,0.75,0.87,0.67,0.87,0.79
27,0.76,0.65,0.69,0.77,0.67,0.68,0.82,0.72,0.83,0.79
28,0.75,0.65,0.71,0.77,0.67,0.71,0.78,0.72,0.83,0.79
29,0.75,0.64,0.71,0.75,0.67,0.73,0.76,0.7,0.83,0.78
30,0.75,0.62,0.71,0.77,0.66,0.73,0.75,0.69,0.83,0.74
31,0.73,0.59,0.71,0.77,0.66,0.67,0.72,0.67,0.83,0.73
32,0.73,0.57,0.68,0.77,0.66,0.67,0.71,0.67,0.82,0.73
33,0.72,0.65,0.62,0.76,0.59,0.67,0.71,0.67,0.81,0.73
34,0.71,0.65,0.62,0.75,0.58,0.67,0.71,0.61,0.81,0.73
35,0.71,0.65,0.61,0.75,0.55,0.66,0.71,0.61,0.8,0.73
36,0.67,0.65,0.61,0.72,0.52,0.66,0.66,0.61,0.79,0.73
37,0.66,0.59,0.61,0.72,0.52,0.68,0.67,0.61,0.73,0.73
38,0.59,0.64,0.61,0.65,0.57,0.65,0.63,0.61,0.7,0.72
39,0.55,0.64,0.61,0.65,0.53,0.65,0.63,0.59,0.7,0.67
40,0.57,0.64,0.55,0.64,0.53,0.65,0.63,0.59,0.7,0.66
41,0.61,0.58,0.54,0.64,0.49,0.64,0.58,0.56,0.7,0.66
42,0.61,0.52,0.54,0.64,0.49,0.63,0.59,0.53,0.69,0.66
43,0.58,0.5,0.54,0.64,0.52,0.61,0.56,0.53,0.69,0.66
44,0.58,0.47,0.54,0.68,0.51,0.61,0.54,0.54,0.68,0.61
45,0.5,0.46,0.54,0.69,0.51,0.61,0.54,0.54,0.66,0.61
46,0.5,0.45,0.48,0.69,0.51,0.61,0.5,0.54,0.63,0.59
47,0.5,0.45,0.48,0.69,0.47,0.61,0.5,0.53,0.61,0.55
48,0.5,0.45,0.48,0.69,0.47,0.61,0.5,0.53,0.61,0.54
49,0.53,0.45,0.48,0.64,0.47,0.61,0.5,0.49,0.61,0.54
50,0.53,0.4,0.46,0.66,0.39,0.61,0.52,0.5,0.6,0.54
51,0.54,0.4,0.46,0.66,0.36,0.59,0.52,0.5,0.6,0.54
52,0.54,0.4,0.46,0.66,0.36,0.59,0.52,0.5,0.6,0.54
53,0.54,0.4,0.46,0.66,0.36,0.54,0.49,0.5,0.58,0.54
54,0.53,0.35,0.45,0.64,0.36,0.54,0.49,0.49,0.57,0.54
55,0.53,0.35,0.45,0.59,0.32,0.54,0.49,0.49,0.57,0.54
56,0.53,0.35,0.45,0.59,0.32,0.51,0.49,0.49,0.53,0.54
57,0.53,0.35,0.43,0.59,0.32,0.51,0.49,0.49,0.53,0.53
58,0.53,0.35,0.43,0.59,0.32,0.51,0.47,0.49,0.53,0.53
59,0.49,0.35,0.43,0.56,0.32,0.5,0.47,0.47,0.5,0.52
60,0.49,0.35,0.43,0.48,0.27,0.5,0.47,0.47,0.5,0.52
61,0.5,0.35,0.41,0.48,0.27,0.5,0.47,0.47,0.5,0.52
62,0.49,0.35,0.41,0.44,0.27,0.49,0.47,0.47,0.5,0.47
63,0.49,0.35,0.41,0.44,0.27,0.47,0.47,0.47,0.5,0.44
64,0.49,0.34,0.38,0.46,0.27,0.46,0.47,0.48,0.5,0.44
65,0.49,0.3,0.38,0.47,0.27,0.46,0.45,0.5,0.5,0.4
66,0.49,0.3,0.38,0.47,0.29,0.46,0.47,0.51,0.49,0.4
