,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
67,0.49,0.3,0.39,0.46,0.29,0.45,0.47,0.51,0.51,0.41
68,0.49,0.3,0.39,0.46,0.29,0.45,0.47,0.51,0.49,0.41
69,0.48,0.29,0.39,0.46,0.29,0.45,0.47,0.51,0.49,0.41
70,0.45,0.29,0.39,0.46,0.28,0.4,0.47,0.51,0.49,0.37
71,0.43,0.32,0.39,0.46,0.28,0.38,0.47,0.51,0.49,0.37
72,0.45,0.32,0.39,0.46,0.26,0.35,0.47,0.51,0.49,0.37
73,0.44,0.32,0.38,0.46,0.26,0.35,0.46,0.51,0.49,0.37
74,0.44,0.32,0.38,0.46,0.24,0.35,0.46,0.51,0.49,0.37
75,0.44,0.32,0.39,0.46,0.24,0.35,0.4,0.51,0.47,0.34
76,0.45,0.31,0.39,0.41,0.24,0.35,0.4,0.51,0.47,0.34
77,0.44,0.31,0.39,0.41,0.24,0.35,0.4,0.51,0.47,0.38
78,0.44,0.31,0.39,0.41,0.24,0.33,0.4,0.51,0.46,0.37
79,0.38,0.29,0.39,0.41,0.24,0.32,0.39,0.51,0.46,0.37
80,0.38,0.28,0.39,0.4,0.24,0.3,0.38,0.51,0.45,0.37
81,0.37,0.28,0.38,0.4,0.24,0.35,0.38,0.51,0.36,0.37
82,0.37,0.28,0.38,0.4,0.24,0.35,0.39,0.51,0.36,0.37
83,0.37,0.28,0.38,0.39,0.24,0.35,0.39,0.51,0.36,0.37
84,0.35,0.28,0.38,0.39,0.24,0.35,0.36,0.5,0.36,0.37
85,0.35,0.28,0.38,0.39,0.24,0.35,0.36,0.41,0.36,0.37
86,0.35,0.28,0.38,0.39,0.25,0.32,0.36,0.41,0.36,0.37
87,0.35,0.31,0.33,0.4,0.25,0.32,0.37,0.41,0.36,0.37
88,0.35,0.31,0.33,0.39,0.25,0.32,0.37,0.41,0.34,0.37
89,0.35,0.31,0.33,0.39,0.25,0.31,0.37,0.41,0.34,0.31
90,0.35,0.31,0.33,0.4,0.25,0.31,0.37,0.37,0.34,0.34
91,0.35,0.28,0.33,0.38,0.25,0.33,0.35,0.37,0.33,0.34
92,0.35,0.28,0.31,0.38,0.25,0.33,0.35,0.39,0.33,0.34
93,0.35,0.24,0.31,0.38,0.25,0.33,0.33,0.39,0.33,0.34
94,0.35,0.24,0.28,0.38,0.25,0.33,0.33,0.4,0.33,0.33
95,0.35,0.24,0.28,0.38,0.25,0.33,0.39,0.4,0.33,0.33
96,0.35,0.24,0.27,0.38,0.25,0.33,0.39,0.39,0.33,0.33
97,0.35,0.22,0.27,0.38,0.25,0.33,0.39,0.39,0.33,0.33
98,0.34,0.22,0.27,0.38,0.25,0.33,0.39,0.41,0.33,1
99,0.34,0.22,0.27,0.38,0.25,0.33,0.39,0.41,0.33,1
100,0.34,0.22,0.27,0.38,0.23,0.33,0.39,0.41,0.33,1
