Predic_Error
1
1
1
1
0.99
0.98
0.95
0.94
0.93
0.93
0.92
0.89
0.87
0.83
0.81
0.75
0.69
0.65
0.65
0.61
0.58
0.58
0.57
0.57
0.53
0.52
0.51
0.47
0.47
0.47
0.42
0.42
0.44
0.45
0.43
0.33
0.27
0.28
0.28
0.28
0.28
0.25
0.25
0.25
0.24
0.26
0.25
0.25
0.19
0.24
0.23
0.23
0.23
0.24
0.25
0.24
0.24
0.24
0.24
0.24
0.3
0.3
0.29
0.29
0.3
0.24
0.22
0.21
0.16
0.18
0.22
0.22
0.22
0.22
0.22
0.22
0.2
0.2
0.2
0.21
0.21
0.21
0.21
0.21
0.22
0.22
0.22
0.22
0.2
0.2
0.2
0.2
0.2
0.17
0.17
0.14
0.14
0.14
0.11
0.11
