Predic_Error
1
1
1
1
0.99
0.97
0.95
0.93
0.96
0.92
0.89
0.89
0.87
0.84
0.8
0.79
0.75
0.78
0.72
0.69
0.66
0.62
0.6
0.58
0.58
0.55
0.49
0.44
0.44
0.41
0.4
0.4
0.4
0.4
0.4
0.4
0.4
0.4
0.41
0.42
0.39
0.27
0.32
0.28
0.28
0.28
0.28
0.28
0.24
0.24
0.24
0.23
0.23
0.28
0.28
0.28
0.28
0.26
0.26
0.25
0.28
0.24
0.25
0.25
0.19
0.19
0.19
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.19
0.19
0.17
0.17
0.17
0.17
0.17
0.21
0.18
0.18
0.18
0.18
0.16
0.12
0.12
0.12
0.12
0.12
0.12
0.12
0.13
0.13
0.13
0.13
0.12
0.12
