Predic_Error
1
1
1
1
1
1
0.99
0.94
0.96
0.93
0.94
0.91
0.85
0.77
0.77
0.77
0.67
0.67
0.64
0.57
0.55
0.55
0.59
0.56
0.55
0.56
0.54
0.52
0.52
0.52
0.53
0.53
0.49
0.46
0.42
0.37
0.38
0.35
0.35
0.35
0.29
0.25
0.19
0.19
0.2
0.21
0.19
0.2
0.18
0.18
0.18
0.18
0.18
0.18
0.18
0.18
0.18
0.16
0.15
0.15
0.15
0.15
0.15
0.13
0.13
0.11
0.09
0.09
0.09
0.09
0.09
0.09
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.08
0.09
0.09
0.09
0.09
0.08
0.08
0.07
0.07
0.07
0.07
0.07
0.07
0.07
