Predic_Error
1
1
1
1
0.98
0.98
0.96
0.9
0.9
0.88
0.86
0.85
0.84
0.81
0.75
0.68
0.74
0.74
0.71
0.59
0.54
0.55
0.55
0.53
0.5
0.51
0.51
0.52
0.51
0.51
0.55
0.52
0.51
0.51
0.52
0.44
0.43
0.43
0.36
0.33
0.33
0.31
0.29
0.27
0.27
0.28
0.28
0.26
0.27
0.27
0.27
0.22
0.2
0.2
0.2
0.2
0.23
0.23
0.23
0.23
0.24
0.2
0.2
0.2
0.19
0.19
0.19
0.19
0.17
0.14
0.14
0.14
0.1
0.1
0.1
0.1
0.1
0.1
0.11
0.11
0.11
0.11
0.1
0.1
0.1
0.09
0.09
0.1
0.1
0.08
0.08
0.11
0.11
0.09
0.09
0.09
0.07
0.07
0.07
0.07
