Trial,Total_Time,Full_Problem_Count
1,280.82564401626587,1
2,273.1050729751587,5
3,309.03016901016235,8
4,311.53697419166565,6
5,316.633731842041,10
6,363.15143299102783,10
7,414.9533648490906,13
8,312.68528413772583,9
9,319.8358428478241,10
10,499.39281606674194,10
