Trial,Total_Time,Full_Problem_Count
1,568.4321241378784,1
2,6889.880234003067,7
3,854.6649081707001,1
4,8913.815816879272,8
5,3173.139007806778,5
6,1705.616683959961,4
7,676.3573980331421,1
8,9937.376335859299,10
9,3702.588594198227,7
10,968.3914339542389,1
