x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,,
0.72,0.86,0.67,0.76,0.76,0.79,0.76,0.72,0.76,0.87,,0.77375,0.066748462
0.72,0.82,0.67,0.73,0.76,0.76,0.76,0.72,0.74,0.87,,0.7625,0.060651228
0.73,0.78,0.67,0.72,0.76,0.74,0.77,0.73,0.76,0.85,,0.7575,0.050638777
0.73,0.77,0.67,0.71,0.67,0.74,0.76,0.74,0.79,0.82,,0.74375,0.053435542
0.71,0.77,0.64,0.71,0.68,0.65,0.74,0.74,0.79,0.79,,0.72125,0.060577577
0.71,0.77,0.63,0.74,0.68,0.65,0.74,0.72,0.71,0.79,,0.71,0.055805786
0.7,0.77,0.63,0.73,0.68,0.65,0.74,0.72,0.72,0.79,,0.71,0.056061191
0.68,0.77,0.62,0.71,0.67,0.62,0.74,0.71,0.72,0.79,,0.70125,0.06446206
0.66,0.76,0.6,0.7,0.67,0.62,0.72,0.71,0.72,0.79,,0.6925,0.066493824
0.66,0.77,0.56,0.69,0.67,0.63,0.72,0.66,0.71,0.77,,0.68625,0.071501748
0.66,0.76,0.56,0.72,0.67,0.61,0.72,0.66,0.69,0.77,,0.68,0.071713717
0.68,0.75,0.55,0,0.67,0.6,0.7,0.66,0.68,0.77,,0.675,0.072308861
0.68,0.74,0.55,0,0.65,0.6,0.64,0.65,0.68,0.75,,0.66125,0.067068728
0.66,0.72,0.49,0,0.59,0.6,0.61,0.66,0.68,0.77,,0.64,0.086849624
0.66,0.73,0.49,0,0.59,0.6,0.6,0.67,0.68,0.71,,0.6325,0.078148211
0.65,0.73,0.49,0,0.61,0.6,0.64,0.67,0.68,0.72,,0.64,0.076718409
0.61,0.76,0.48,0,0.62,0.6,0.61,0.67,0.67,0.72,,0.63375,0.085178384
0.61,0.75,0.48,0,0.62,0.59,0.61,0.67,0.67,0.71,,0.63,0.08228869
0.61,0.75,0.48,0,0.62,0.59,0.61,0.68,0.67,0.71,,0.63,0.08228869
0.6,0.75,0.46,0,0.62,0.59,0.61,0.68,0.67,0.71,,0.62625,0.087983359
0.6,0.75,0.46,0,0.61,0.59,0.61,0.66,0.67,0.7,,0.62375,0.086839343
0.6,0.75,0.44,0,0.61,0.59,0.6,0.62,0.56,0.7,,0.60625,0.09226321
0.57,0.68,0.44,0,0.59,0.59,0.6,0.62,0.56,0.71,,0.5925,0.081372161
0.57,0.67,0.44,0,0.57,0.58,0.57,0.62,0.56,0.71,,0.58375,0.080345237
0.55,0.67,0.44,0,0.57,0.58,0.57,0.62,0.56,0.68,,0.5775,0.074785407
0.55,0.65,0.43,0,0.57,0.57,0.56,0.61,0.6,0.68,,0.57625,0.074821215
0.55,0.64,0.43,0,0.57,0.57,0.54,0.58,0.57,0.66,,0.56625,0.069475073
0.55,0.65,0.43,0,0.57,0.57,0.54,0.58,0.57,0.66,,0.5675,0.071063352
0.55,0.65,0.43,0,0.57,0.59,0.55,0.59,0.57,0.65,,0.57,0.069282032
0.55,0.61,0.43,0,0.57,0.58,0.54,0.59,0.57,0.63,,0.56,0.060237625
0.55,0.61,0.43,0,0.57,0.57,0.54,0.61,0.57,0.63,,0.55875,0.059865922
0.56,0.61,0.43,0,0.57,0.57,0.53,0.61,0.57,0.63,,0.55875,0.060341291
0.57,0.63,0.4,0,0.56,0.57,0.52,0.6,0.57,0.63,,0.55625,0.072886899
0.57,0.63,0.39,0,0.56,0.56,0.51,0.6,0.57,0.62,,0.55125,0.075107066
0.54,0.63,0.39,0,0.56,0.56,0.51,0.99,0.54,0.63,,0.545,0.075781641
0.55,0.61,0.39,0,0.54,0.56,0.51,0,0.54,0.63,,0.54125,0.072592306
0.55,0.61,0.39,0,0.54,0.56,0.51,0,0.54,0.63,,0.54125,0.072592306
0.56,0.61,0.36,0,0.54,0.56,0.51,0,0.56,0.65,,0.54375,0.085680053
0.56,0.57,0.36,0,0.51,0.57,0.51,0,0.54,0.65,,0.53375,0.082969444
0.54,0.54,0.34,0,0.51,0.55,0.51,0,0.54,0.63,,0.52,0.081766217
0.54,0.51,0.37,0,0.51,0.55,0.52,0,0.52,0.62,,0.5175,0.069641941
0.54,0.53,0.31,0,0.51,0.55,0.52,0,0.53,0.61,,0.5125,0.087300794
0.54,0.53,0.29,0,0.51,0.55,0.51,0,0.51,0.61,,0.50625,0.093493697
0.54,0.53,0.27,0,0.49,0.55,0.51,0,0.51,0.59,,0.49875,0.09731209
0.54,0.56,0.27,0,0.48,0.52,0.51,0,0.51,0.58,,0.49625,0.096649218
0.49,0.56,0.28,0,0.48,0.52,0.51,0,0.51,0.62,,0.49625,0.098116185
0.49,0.56,0.28,0,0.48,0.5,0.49,0,0.51,0.6,,0.48875,0.093874917
0.46,0.56,0.28,0,0.48,0.5,0.49,0,0.51,0.61,,0.48625,0.096204767
0.5,0.56,0.28,0,0.48,0.5,0.5,0,0.51,0.61,,0.4925,0.095730276
0.5,0.56,0.28,0,0.48,0.5,0.5,0,0.51,0.62,,0.49375,0.097532046
0.51,0.56,0.28,0,0.48,0.53,0.51,0,0.51,0.58,,0.495,0.092427578
0.52,0.55,0.27,0,0.48,0.55,0.5,0,0.51,0.58,,0.495,0.096362411
0.52,0.53,0.27,0,0.48,0.53,0.49,0,0.5,0.56,,0.485,0.090553851
0.52,0.53,0.27,0,0.48,0.53,0.49,0,0.5,0.56,,0.485,0.090553851
0.41,0.53,0.27,0,0.48,0.53,0.48,0,0.5,0.54,,0.4675,0.090039674
